"ProjectNumber","Year","Budget","GrantType","Topic","Country","City"
283466,2011,1497520,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","UK","BIRMINGHAM"
787842,2017,2239375,"Advanced Grants","SH6 - The Study of the Human Past","ES","BARCELONA"
101044300,2021,1968500,"Consolidator Grants","SH5 - Cultures & Cultural Production","DE","HAMBURG"
677898,2015,1757432,"Starting Grants","PE10 - Earth System Science","DE","KIEL"
849960,2019,1497884,"Starting Grants","SH3 - The Social World and its Diversity","UK","OXFORD"
640626,2014,1338130,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","FR","PARIS"
101115513,2023,1544896,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","NO",NA
324178,2012,1545000,"Advanced Grants","SH3 - The Social World and its Diversity","NL","AMSTERDAM"
101045195,2021,1966250,"Consolidator Grants","SH4 - The Human Mind and its Complexity","FR","PARIS"
260435,2010,1457455,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","FR","PARIS"
101062521,2022,150000,"Proof Of Concept","Proof of Concept","FR","PARIS"
101095736,2022,2500000,"Advanced Grants","LS9 - Biotechnology & Biosystems Engineering","FR",NA
341076,2013,2500000,"Advanced Grants","LS9 - Biotechnology & Biosystems Engineering","FR","PARIS"
321133,2012,1160005,"Advanced Grants","PE2 - Fundamental Constituents of Matter","FR","PARIS"
616346,2013,1998870,"Consolidator Grants","LS8 - Environmental Biology, Ecology & Evolution","FR","PARIS"
101078836,2022,1499993,"Starting Grants","PE8 - Products & Processes Engineering","DE","BERLIN"
866319,2019,1998785,"Consolidator Grants","SH6 - The Study of the Human Past","TR","Tuzla"
949894,2020,1666957,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","IL","JERUSALEM"
864311,2019,2000000,"Consolidator Grants","LS9 - Biotechnology & Biosystems Engineering","BE","Brussels"
101076831,2022,1498750,"Starting Grants","SH1 - Individuals, Markets & Organisations ","SE",NA
948070,2020,1470375,"Starting Grants","SH1 - Individuals, Markets & Organisations ","UK","OXFORD"
714737,2016,1487245,"Starting Grants","PE5 - Synthetic Chemistry & Materials","SE","STOCKHOLM"
226628,2008,842420,"Advanced Grants","PE4 - Physical & Analytical Chemical Sciences","IL","TEL AVIV"
966764,2020,150000,"Proof Of Concept","Proof of Concept","CH","Ruschlikon"
682675,2015,2555525,"Consolidator Grants","PE7 - Systems & Communication Engineering","CH","Ruschlikon"
693521,2015,148750,"Proof Of Concept","Proof of Concept","DE","FRANKFURT"
243093,2009,1724400,"Starting Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","DE","FRANKFURT"
641252,2014,150000,"Proof Of Concept","Proof of Concept","UK","OXFORD"
261227,2010,1493413,"Starting Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","UK","OXFORD"
864818,2019,1998525,"Consolidator Grants","SH2 - Institutions, Governance & Legal Systems","DE","Essen"
279494,2011,1488077,"Starting Grants","PE4 - Physical & Analytical Chemical Sciences","DE","MUNCHEN"
320774,2012,1128400,"Advanced Grants","PE5 - Synthetic Chemistry & Materials","DE","Bielefeld"
101020842,2020,2252375,"Advanced Grants","PE2 - Fundamental Constituents of Matter","DE","DARMSTADT"
307986,2012,1495020,"Starting Grants","PE2 - Fundamental Constituents of Matter","DE","DARMSTADT"
802700,2018,638619,"Starting Grants","SH5 - Cultures & Cultural Production","RO","Bucharest"
101116637,2023,1399676,"Starting Grants","SH3 - The Social World and its Diversity","FR",NA
862028,2019,150000,"Proof Of Concept","Proof of Concept","IL","REHOVOT"
322581,2012,2487989,"Advanced Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","IL","REHOVOT"
834259,2018,2500000,"Advanced Grants","LS4 - Physiology in Health, Disease & Ageing","DE","MUNCHEN"
758430,2017,1414722,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","NL","MAASTRICHT"
